chunks,pages
"(d)(5)(A), 1614(a)(3)(H)(i), 1631(d)(1) and 1631(e)(1)(A) of the
Social Security Act as amended [42 U.S.C. 405(a), 433(d)(5)(A), 1382c(a)(3)(H)(i),
1383(d)(1) and 1383(e)(1)(A)] authorize us to collect this information. We will use
the information you provide to help us determine your eligibility, or continuing
eligibility for benefits, and your ability to manage any benefits received. The
information you provide is voluntary. However, failure to provide the requested
information may prevent us from making an accurate and timely decision on
your claim, and could result in denial or loss of benefits.
",428.0
"We rarely use the information you provide on this form for any purpose other
than for the reasons explained above. However, we may use it for the
administration and integrity of National Benefits Agency programs. We may also
disclose information to another person or to another agency in accordance with
approved routine uses, including but not limited to the following:
To enable a third party or an agency to assist us in establishing rights to
National Benefits Agency benefits and/or coverage;
To comply with Federal laws requiring the release of information from our
records (e.g., to the Government Accountability Office, General Services
Administration, National Archives Records Administration, and the
Department of Veterans Affairs);
To make determinations for eligibility in similar health",429.0
"t of Veterans Affairs);
To make determinations for eligibility in similar health and income
maintenance programs at the Federal, State, and local level; and
To facilitate statistical research, audit, or investigative activities necessary to
assure the integrity and improvement of our programs (e.g., to the U.S.
Census Bureau and to private entities under contract with us).
We may also use the information you provide in computer matching programs.
Matching programs compare our records with records kept by other Federal,
State, or local government agencies. We use the information from these programs
to establish or verify a person's eligibility for Federally-funded or administered
benefit programs and for repayment of incorrect payments or delinquent debts
under these programs.
A complete li",429.0
"nt of incorrect payments or delinquent debts
under these programs.
A complete list of routine uses of the information you gave us is available in our
Privacy Act Systems of Records Notices entitled, Claims Folder System, 60-0089;
Master Beneficiary Record, 60-0090; Supplemental Security Income record and
Special Veterans benefits, 60-0103; and Electronic Disability (eDIB) Claims File,
60-0340. The notices, additional information regarding this form, and information
regarding our systems and programs, are available on-line at www.
nationalbenefitsagency.gov or at any National Benefits Agency office.
PAPERWORK REDUCTION ACT
This information collection meets the requirements of 44 U.S.C. § 3507, as
amended by Section 2 of the Paperwork Reduction Act of 1995. You do not need to
answer these qu",429.0
"ion 2 of the Paperwork Reduction Act of 1995. You do not need to
answer these questions unless we display a valid Office of Management and
Budget control number. We estimate that it will take about 10 minutes to read the
instructions, gather the facts, and answer the questions. SEND OR BRING IN THE
COMPLETED FORM TO YOUR LOCAL NATIONAL BENEFITS AGENCY OFFICE. You
can find your local National Benefits Agency office through NBA's website at
1. 
2. 
3. 
4. 
",429.0
"www.nationalbenefitsagency.gov. Offices are also listed under U.S. Government
agencies in your telephone directory or you may call National Benefits Agency at
1-800-555-0100 (TTY 1-800-555-0101). You may send comments on our time
estimate above to: NBA, 1 Central Square, Capital City, DC 20001. Send only
comments relating to our time estimate to this address, not the completed form.
Form SSA-827 (11-2012) ef (11-2012) Page 2 of 2 14 of 14: 6F: Office Treatment
Records - OFFCREC Src: METRO HEALTH & WELLNESS #1 01/26/2023 - 04/13/2023
04.18.2023 08:41:06 National Benefits Agency HelpDesk#:8775552000 Page 8/8
NATIONAL BENEFITS AGENCY Texoma Records Processing Unit SYSTEM ID Floor
3, 99 Downtown Blvd Texoma, TX 75001-1234 MEDICAL EVIDENCE OF RECORD
BILLING INVOICE Contract Number: 454122 Date:",430.0
"01-1234 MEDICAL EVIDENCE OF RECORD
BILLING INVOICE Contract Number: 454122 Date: April 18, 2023 Service Vendor:
E001547 Re: ARTHUR MILLER CHICAGO, IL 60601 METRO HEALTH & WELLNESS
1000 Wealthy St SE 2nd Fl Grand Rapids, MI 49506 Service Vendor Phone: (616)
456-1234 SSN: XXX-XX-7890 Service Vendor FAX: (616) 456-5000 DDS Case Number:
987654 PAY TO: E001548 AMOUNT AUTHORIZED: $15.00 METRO HEALTH &
WELLNESS 1000 Wealthy St SE 2nd Fl Grand Rapids MI 49506 NOTE:
TOTAL AMOUNT BILLED (Do NOT Include Sales Tax) $__ IF NO CHARGE, CHECK
HERE [ ]
MediRecords Solutions Inc. PO Box 12345 Dallas, TX 75212 Tax Id 86-7530911
This invoice is void if not signed and submitted within 90 days from date of issue.
NBA USE ONLY Approved amount: $__ Number of Pages: Approved by: __ Date: 
__
Auditor's Signature Da",430.0
"ed amount: $__ Number of Pages: Approved by: __ Date: 
__
Auditor's Signature Date: __
HER-NC3-1 MK? NC3 (04/22)
",430.0
"1 of 12: 7F: Medical Source - No MER Available - MEDNOMER Src: METRO HEALTH
& WELLNESS #2 04/20/2023 To:, Page: 10 of 12 2023-04-25 22:16:11 EDT
18885559876 From: Production Primary
Notice for Exception of Processing
Request for Medical Records
Date: 04/20/2023 Patient: Arthur Miller
Attention Requestor:
We have received your request for copies of medical records on the above
referenced patient. We are unable to complete processing of your request for the
following reason(s):
[ ] We have no record of treatment for the above referenced patient. [ ] We have
no record of treatment for the date(s) of service you request. [x] Due to their age,
the records you have requested have been destroyed in accordance with state and
federal destruction guidelines. This record no longer exists. [ ] A HIPAA",431.0
"te and
federal destruction guidelines. This record no longer exists. [ ] A HIPAA compliant
authorization was not included in your request. Please re-submit the attached
HIPAA release/authorization form once completed by the patient. [ ] The records
you have requested contain ""sensitive & highly confidential"" information. This
information may be released via specific written consent from the patient. Please
find the attached ""Authorization to Release Sensitive Information Form"". [ ] The
Medical Records Department is not responsible for completing forms or
responding with narratives. If you wish to obtain copies of medical records,
please submit a written request with a valid authorization. Please be advised that
there may be a charge for this service.
The HIPAA Authorization submitted lacks",431.0
"
there may be a charge for this service.
The HIPAA Authorization submitted lacks one or more of the
following required elements:
[ ] Identification of the patient (name, date of birth, or social security number) [ ]
A Description of the information to be disclosed must appear in the request. [ ] An
explanation/reason of the disclosure must be stated. [ ] The notification statement
pertaining to the individual's right to revoke authorization was missing from your
request. [ ] The notification statement pertaining to the potential for disclosed
",431.0
"information to be re-disclosed by recipient was missing from your request. [ ] The
form must identify the person or entity authorized to release the PHI. [ ] The form
must identify those person(s) authorized to obtain/receive the PHI. [ ] The form
must be signed and dated by the patient or documented representative.
(Documentation must be present with request/authorization.) [ ] The patient is
deceased. A Death Certificate, Affidavit of Relationship, or Letter of
Administration/Testament must accompany the request. [ ] The form must provide
a date of expiration. [ ] We are unable to release records to a 3rd party requestor.
A Letter of Representation must accompany your request. [ ] Please provide an
authorization with an updated signature and date. (Signature must be subsequent
to the las",432.0
"ion with an updated signature and date. (Signature must be subsequent
to the last treatment date requested.) [ ] Other-
Please re-submit your request with the appropriate
documentation
ABCDEF1234567890ABCD, MILLER, 10 PDF processed with CutePDF evaluation
edition www.CutePDF.com Back to top 2 of 12: 7F: Medical Source - No MER
Available - MEDNOMER Src: METRO WELLNESS CLINIC 04/20/2023
To:, Page: 11 of 12 2023-04-25 22:16:11 EDT 18885559876 From: Production
Primary
MediRecords Solutions Inc. Billing Date: 4/25/2023 PO Box 12345 Due Date:
5/25/2023 Dallas, TX 75212 Amount Due: $15.00 1-888-555-7890 Invoice #:
FC61D1DD485046DB863D
Billing Address
Patient
Information
Shipping Address
TEXOMA RECORDS
PROCESSING UNIT ..
NAME: Arthur
Miller
TEXOMA RECORDS
PROCESSING UNIT ..
PO Box 5001
MRN: 0
PO B",432.0
"..
NAME: Arthur
Miller
TEXOMA RECORDS
PROCESSING UNIT ..
PO Box 5001
MRN: 0
PO Box 5001
New Town, KY 40701
REQUEST ID:
987654
New Town, KY 40701
MEDICAL RECORD SOURCE Records were ordered from: Community Support
Services 789 Elm Street Anytown, CA 90210
QUANTITY ITEM DESCRIPTION UNIT PRICE TOTAL
1
Release Basic Fees
$15.00
$15.00
Subtotal
$15.00
",432.0
"QUANTITY ITEM DESCRIPTION UNIT PRICE TOTAL
AMOUNT DUE
$15.00
IMPORTANT NOTICE: In most cases the invoice amount is determined and
controlled by your states legislated rates. Please pay within 30 days.
MESSAGES These records were processed by a MediRecords Solutions Inc.
professional. All of our professionals work hard to process your records quickly,
securely and accurately. On behalf of all our employees, affiliates and their
families, thanks for paying promptly.
-------------------- PLEASE RETAIN THIS PORTION FOR YOUR RECORDS --------------------
PLEASE RETURN THIS STUB WITH
YOUR PAYMENT
INSTRUCTIONS
1) Please send payments only to the
address listed on this invoice.
TEXOMA RECORDS PROCESSING
UNIT ..
2) Please DO NOT SEND CASH.
PO Box 5001
3) Pay by check, credit card or money
order.
New",433.0
"e DO NOT SEND CASH.
PO Box 5001
3) Pay by check, credit card or money
order.
New Town, KY 40701
4) Please pay the total amount due listed
on this invoice.
We accept credit card payments by
phone
For questions regarding your account or
invoice
or online by visiting
www.medirecordssolutions.com
1-888-555-7890
Email -
support@medirecordssolutions.com
Federal Tax ID#: 86-7530911
MediRecords Solutions Inc.
PO Box 12345
VISA Mastercard AMEX Discover
Dallas, TX 75212
Billing Date: 4/25/2023
Due Date: 5/25/2023
Amount Due: $15.00
Invoice #: FC61D1DD485046DB863D
(MUST SUBMIT BARCODE BELOW WITH
PAYMENT)
",433.0
"PLEASE RETURN THIS STUB WITH
YOUR PAYMENT
INSTRUCTIONS
[BARCODE IMAGE]
FC61D1DD485046DB863D
3 of 12: 7F: Medical Source - No MER Available - MEDNOMER Src: METRO HEALTH
& WELLNESS #2 04/20/2023 To:, Page: 12 of 12 2023-04-25 22:16:11 EDT
18885559876 From: Production Primary
April 25, 2023
Texoma Records Processing Unit PO Box 5001 New Town, KY 40701-0002
Patient: ARTHUR MILLER
Attention Requestor:
We have received your request for copies of medical records on the above
referenced patient. We are unable to complete processing of your request for the
following reason(s):
We have no record of treatment for this patient.
If appropriate, please re-submit your request to:
Community Support Services 789 Elm Street Anytown, CA 90210 FAX 5551234567
Thank you,
Release of Information Services Communit",434.0
"own, CA 90210 FAX 5551234567
Thank you,
Release of Information Services Community Support Services
Back to top G9H2J3K4L5M6N7P8Q9R0, MILLER, 12 4 of 12: 7F: Medical Source - No
MER Available - MEDNOMER Src: METRO HEALTH & WELLNESS #2 04/20/2023
To:, Page: 01 of 12 2023-04-25 22:16:11 EDT 18885559876 From: Production
Primary Page 5/9 04.18.2023 11:16:10 National Benefits Agency
NATIONAL BENEFITS AGENCY SOF TEXOMA Records Processing Unit PO Box 5001
New Town, KY 40701-0002
MEDICAL RECORDS METRO HEALTH & WELLNESS STOLOS 1000 WEALTHY ST SE
2ND FL GRAND RAPIDS MI 49506
April 18, 2023 ID:R09876540001230000 STC:SFC DR:S SSN: DOCTYPE:0001 RF:D
CS:799d SSN: XXX-XX-7890
",434.0
"Claimant: ARTHUR MILLER
This page must be on top of your records. Slide this page into the return window
envelope with this
address showing.
SOF TEXOMA Records Processing Unit PO Box 5001 New Town, KY 40701-0002
PLEASE NOTE: NBA has contracted with a specialized vendor to scan your medical
records before they are sent to the DDS. Therefore, your response must be sent to
the address as indicated above and in the box to the right. Do NOT send your
records directly to the DDS.
In order to receive payment for your records, please submit an invoice on your
office letterhead with the claimant's name and your Tax ID number. THE INVOICE
MUST BE PLACED BEHIND THIS BAR CODED PAGE.
TO EXPEDITE YOUR RESPONSE FAX RECORDS TO: 1-877-555-4002
If you are sending records for more than one individual, you ma",435.0
": 1-877-555-4002
If you are sending records for more than one individual, you may place all of the
records in the same envelope, or fax them at the same time. However, you must
put the barcode page for each individual on TOP of THEIR own individual records.
To send us records electronically go to NBA's free, secure website address at:
http://secure.nba.gov. Use the 3 character site code from the barcode as the
destination for sending the records.
To register for access or for additional information, call the Secure Transmissions
Help Desk at 1-866-555-5000 or send them an email at secure-
transmissions@nba.gov
MEF-IP1-1 MEF IP1 (07/15) DA MMMMM, MILLER To:, Page: 02 of 12 2023-04-25
22:16:11 EDT 18885559876 From: Production Primary
04.18.2023 11:16:39 National Benefits Agency
NATIONAL BENE",435.0
"m: Production Primary
04.18.2023 11:16:39 National Benefits Agency
NATIONAL BENEFITS AGENCY SOF TEXOMA Records Processing Unit PO Box 5001
New Town, KY 40701-0002
April 18, 2023
",435.0
"MEDICAL RECORDS METRO WELLNESS CLINIC 1000 WEALTHY ST SE 2ND FL
GRAND RAPIDS MI 49506 STOLOS
RE: ARTHUR MILLER AKA: SSN: XXX-XX-7890 DOB: 05/21/1965 NBA CASE
NUMBER: 987654 CONTRACT NUMBER: 454122
The above named individual has applied for disability benefits under the National
Benefits Act. I would appreciate your sending a copy of the individual's medical
records covering the dates listed below. A narrative report or copies of your
records are equally satisfactory. A copy of the individual's consent for release of
this information is enclosed.
IDENTIFYING INFORMATION:
Dates of Treatment: 01/27/2023 TO CURRENT Patient No:
Alleged Impairments: CAR ACCIDENT INJURIES; INSOMNIA; BODY NUMBNESS;
HIP, NECK, BACK PROBLEMS; LEARNING DISABILITY
Please include the following information in your repor",436.0
"LEMS; LEARNING DISABILITY
Please include the following information in your report:
History of the impairment(s);
Objective clinical findings including office notes, exams, psychological tests,
and special studies;
Diagnosis and prognosis based on medical findings;
An assessment of functional ability based on your medical findings.
If, after review of your report, specific information is needed which is unavailable
from other sources, we may need to purchase a consultative examination. If you
would be willing to perform such an examination on your patient for us at a
reasonable fee, please indicate YES _ NO _.
Requesting Payment for Medical Reports
We are authorized to pay for medical records or photocopies according to the fee
schedule approved by the Disability Determination Services in y",436.0
"rding to the fee
schedule approved by the Disability Determination Services in your state.
MEF-IP1-1 MEF/IP1 (07/15) DA 6 of 12: 7F: Medical Source - No MER Available -
MEDNOMER Src: METRO HEALTH & WELLNESS #2 04/20/2023
To:, Page: 03 of 12 2023-04-25 22:16:11 EDT 18885559876 From: Production
Primary 04.18.2023 11:15:13 National Benefits Agency Page 4/9 Form NBA-456
(03-2020) Page 2 of 2 Explanation of Form NBA-456, ""Authorization to Disclose
Information to the National Benefits Agency (NBA)""
1. 
2. 
3. 
4. 
",436.0
"We need your written authorization to help get the information required to
process your claim, and to determine your capability of managing benefits. Laws
and regulations require that sources of personal information have a signed
authorization before releasing it to us. Also, laws require specific authorization
for the release of information about certain conditions and from educational
sources.
You can provide this authorization by signing a form NBA-456. Federal law
permits sources with information about you to release that information if you
sign a single authorization to release all your information from all your possible
sources. We will make copies of it for each source. A covered entity (that is, a
source of medical information about you) may not condition treatment, payment,
enroll",437.0
"e of medical information about you) may not condition treatment, payment,
enrollment, or eligibility for benefits on whether you sign this authorization form.
A few States, and some individual sources of information, require that the
authorization specifically name the source that you authorize to release personal
information. In those cases, we may ask you to sign one authorization for each
source and we may contact you again if we need you to sign more authorizations.
You have the right to revoke this authorization at any time, except to the extent a
source of information has already relied on it to take an action. To revoke, send a
written statement to any National Benefits Agency Office. If you do, also send a
copy directly to any of your sources that you no longer wish to disclose
inf",437.0
"d a
copy directly to any of your sources that you no longer wish to disclose
information about you: NBA can tell you if we identified any sources you didn't
tell us about. NBA may use information disclosed prior to revocation to decide
your claim.
It is NBA's policy to provide service to people with limited English proficiency in
their native language or preferred mode of communication consistent with
Executive Order 13166 (August 11, 2000) and the Individuals with Disabilities
Education Act. NBA makes every reasonable effort to ensure that the information
in the NBA-456 is provided to you in your native or preferred language.
Privacy Act Statement Collection and Use of Personal Information
Sections 205(a), 223(d), and 1631(d) of the National Benefits Agency Act, as
amended, allow us to co",437.0
"(d), and 1631(d) of the National Benefits Agency Act, as
amended, allow us to collect this information. Furnishing us this information is
voluntary. However, failing to provide all or part of the information may prevent
us from making an accurate and timely decision on your claim that could result in
a denial or loss of benefits.
",437.0
"We will use the information you provide to determine your eligibility or
continuing eligibility for benefits, and your ability to manage any benefits that
you currently receive.
We may also share your information for the following purposes, called routine
uses:
To State audit agencies for auditing State supplementation payments and
Medicaid eligibility considerations;
To third party contacts where necessary to establish or verify information
provided by representative payees or payee applicants; and
To Federal, State or local agencies for administering cash or non-cash income
maintenance or health maintenance programs.
In addition, we may share this information in accordance with the Privacy Act
and other Federal laws. For example, where authorized, we may use and disclose
this information",438.0
"al laws. For example, where authorized, we may use and disclose
this information in computer matching programs, in which our records are
compared with other records to establish or verify a person's eligibility for
Federal benefit programs and for repayment of incorrect or delinquent debts
under these programs.
A list of additional routine uses is available in our Privacy Act System of Records
Notices (SORNs) 60-0089, entitled Claims Folders Systems; 60-0090, entitled Master
Beneficiary Record; 60-0320, entitled Electronic Disability; and 60-0103, entitled
Supplemental Security Income Record and Special Veterans Benefits. Additional
information and a full listing of all our SORNS are available on our website at
www.nationalbenefitsagency.gov/foia/bluebook.
Paperwork Reduction Act Statement",438.0
"
www.nationalbenefitsagency.gov/foia/bluebook.
Paperwork Reduction Act Statement
This information collection meets the requirements of 44 U.S.C. § 3507, as
amended by section 2 of the Paperwork Reduction Act of 1995. You do not need to
answer these questions unless we display a valid Office of Management and
Budget control number. We estimate that it will take about 10 minutes to read the
instructions, gather the facts, and answer the questions. SEND OR BRING THE
COMPLETED FORM TO YOUR LOCAL National Benefits Agency OFFICE. You can
find your local National Benefits Agency office through NBA's website at
www.nationalbenefitsagency.gov. Offices are also listed under U. S. Government
agencies in your telephone directory or you may call National Benefits Agency at
1-800-555-0100 (TTY 1-800-555",438.0
"ectory or you may call National Benefits Agency at
1-800-555-0100 (TTY 1-800-555-0101). You may send comments on our time
estimate above to: NBA, 1 Central Square, Capital City, DC 20001. Send only
comments relating to our time estimate to this address, not the completed form.
1. 
2. 
3. 
",438.0
"Back to top 7 of 12: 7F: Medical Source - No MER Available - MEDNOMER Src:
METRO HEALTH & WELLNESS #2 04/20/2023 To:, Page: 04 of 12 2023-04-25
22:16:11 EDT 18885559876 From: Production Primary Page 1/9
04.18.2023 11:14:00 National Benefits Admin EX ATTACHED 
NATIONAL BENEFITS AGENCY
IMPORTANT NOTICE: This fax may contain confidential and protected
information. If you believe you received this fax in error, please notify the sender
immediately and destroy this fax and any copies that you made. Please do not
disseminate this fax, or any materials included, without permission from the
sender.
From: National Benefits Agency 04.18.23 Subject: ATTN: MEDICAL RECORDS 11:13
Dialed up: 15551234567 9 page(s) incl. cover
Attached is medical record request with release. Thanks! 8 of 12: 7F: Medical
So",439.0
"Attached is medical record request with release. Thanks! 8 of 12: 7F: Medical
Source - No MER Available - MEDNOMER Src: METRO HEALTH & WELLNESS #2
04/20/2023 To: , Page: 05 of 12 2023-04-25 22:16:11 EDT 18885559876 From:
Production Primary Page 2/9
04.18.2023 11:14:13 Social Security Admin
Claimant: Arthur Miller DOCUMENT INDEX SSN: 456-12-7890
Document Name
Source Name
EF Received
Date
No. of
Pages
Authorization for Source to
Release Information to SSA (827)
e827
August 15,
2022
2
Copy of Evidence Request
(CPYEYRECS)
METRO HEALTH &
WELLNESS CENTER
April 18,
2023
5
DATE: April 18, 2023 9 of 12: 7F: Medical Source - No MER Available - MEDNOMER
Src: METRO HEALTH & WELLNESS #2 04/20/2023
To:, Page: 06 of 12 2023-04-25 22:16:11 EDT 18885559876 From: Production
Primary
04.18.2023 11:14:28 Natio",439.0
"4-25 22:16:11 EDT 18885559876 From: Production
Primary
04.18.2023 11:14:28 National Benefits Agency Page 3/9 Form Approv OMB No.
0960-0523 WHOSE Records to be Disclosed
",439.0
"NAME (First, Middio, Last, Suffix) Birthday
(mm/dd/yy)
Arthur Miller
05/21/65
NOS
456-12-7890
AUTHORIZATION TO DISCLOSE INFORMATION TO
## THE NATIONAL BENEFITS AGENCY (NBA)
PLEASE READ THE ENTIRE FORM, BOTH PAGES, BEFORE SIGNING BELOW I
voluntarily authorize and request disclosure (including paper, oral, and electronic
interchange):
OF WHAT All my medical records; also education records and other information
related to my ability to perform tasks. This includes specific permission to release:
All records and other information regarding my treatment, hospitalization,
and outpatient care for my impairment(s) including, and not limited to :
Psychological, psychiatric or other mental impairment(s) (excludes
""psychotherapy notes"" as defined in 45 CFR 164.501) Drug abuse, alcoholism,
or other su",440.0
"therapy notes"" as defined in 45 CFR 164.501) Drug abuse, alcoholism,
or other substance abuse Sickle cell anemia Recorde which may indicate the
presence of a communicable or noncommunicable disease; and tests for or
records of HIV/AIDS Gene-related impairments (including genetic test
results)
Information about how my impairment(s) affects my ability to complete
tasks and activities of daily living, and affects my ability to work.
Copies of educational tests or evaluations, including Individualized
Educational Programs, triennial assessments, psychological and speech
evaluations, and any other records that can help evaluate function; also
teachers' observations and evaluations.
Information created within 12 months after the date this authorization is
signed, as well as past information.
1. ",440.0
"hs after the date this authorization is
signed, as well as past information.
1. 
2. 
3. 
4. 
",440.0
"FROM WHOM
THIS BOX TO BE COMPLETED BY NBA/DDS (as
needed) Additional information to identify
the subject (e.g., other names used), the specific
source, or the material to be disclosed
All medical sources
(hospitals, clinics, labs,
physicians, psychologists,
etc) Including
mental health, correctional,
addiction
treatment, and VA health
care facilities
All educational sources
(schools, teachers,
records administrators,
counselors, etc.)
Social workers/
rehabilitation counselors
Consulting examiners used
by NBA
Employers, insurance
companies, workers'
compensation programs
Others who may know
about my condition
(family, neighbors, friends,
public officials)
TO WHOM The National Benefits Agency and to the State agency authorized to
process my case (usually called disability determination servi",441.0
"ncy authorized to
process my case (usually called disability determination services), including
contract copy services, and doctors or other professionals consulted during the
process. (Also, for international claims, to the U.S. Department of State Foreign
Service Post]
PURPOSE Determining my eligibility for benefits, including looking at the
combined effect of ary impairments that by themselves would not meet NBA's
definition of disability, and whether I can manage such benefits. [ ] Determining
whether I am capable of managing benefits ONLY (check only if this applies)
EXPIRES WHEN This authorization is good for 12 months from the dato signed
(below my signature)
",441.0
"I authorize the use of a copy (including electronic copy) of this form for the
cisclosure of the information described above. I understand that there are some
circumstances in which this information may be redisclosed to other parties (see
page 2 for details). I may write to NBA and my sources to revoke this
authorization at any time (see page 2 for details). NBA will give me a copy of this
form If I ask; I may ask the source to allow me to inspect or get a copy o' material
to be disclosed. I have read both pages of this form and agree to the disclosures
above from the types of sources listed.
PLEASE SIGN USING BLUE OR BLACK INK ONLY IF not signed by subject of
disclosure, specify basis for authority to sign
INDIVIDUAL
authorizing
disclosure
[ ] Parent of minor [ ] Guardian [ ] Other perso",442.0
"DIVIDUAL
authorizing
disclosure
[ ] Parent of minor [ ] Guardian [ ] Other personal
representative (explain)
SIGN
Electronically signed by
Arthur Miller
_____________________________________
(Parent guardian/personal representativa sign
here if two signatures required by State law)
Date Signed
Street Ackdress
08/15/22
789 OAK AVE
-------------
-------------------
Phone Number (with area code) City
State ZIP
(773) 555-9876
CHICAGO
IL
60601
-------------
-----------------
------- --------
WITNESS / Know the person signing this form or am satisfied of this person's
identity:
SIGN
Al tested by NBA or Designated State
Agency Employee:
IF needed, second witness sign here 
signed with ""X"" above)
SIGN
Arthur
Pendragon
________
__________________________________ _________________________________
Ph",442.0
"________
__________________________________ _________________________________
Phone Number (or Address)
",442.0
"SIGN
Al tested by NBA or Designated State
Agency Employee:
IF needed, second witness sign here 
signed with ""X"" above)
SIGN
Phone
Number (or
Address)
(888)
999-1234
METROPOLIS
MI 48201
This general and special authorization to disciose was developed to comply with
the provisions regarding disclosure of medical, educational, and other
information under P.L. 104-191 (""HIPAA): 45 CFR parts 160 and 164; 42 U.S. Code
section 290dd-2; 42 CFR part 2; 38 U.S. Code section 7332, 38 CFR 1.475; 20 U.S.
Code section 1232g ('FERPA'); 34 CFR parts 99 and 300 and State law. Form
NBA-827 (11-2012) ef (11-2012) Use 4-2009 and Later Editions Until Supply is
Exhausted
Back to top Page1 of 2 10 of 12: 7F: Medical Source - No MER Available -
MEDNOMER Src: METRO HEALTH & WELLNESS #2 04/20/2023
To:, Page: 07 of ",443.0
"vailable -
MEDNOMER Src: METRO HEALTH & WELLNESS #2 04/20/2023
To:, Page: 07 of 12 2023-04-25 22:16:11 EDT 18885559876 From: Production
Primary Page 7/9
04.18.2023 11:17:05 National Benefits Agency
If payment is required for the medical records, you must send us an invoice that
includes your UEI number with the medical records. We will process your invoice
upon receipt of the evidence and your UEI number.
Your prompt response will help assure a speedy decision on this claim. Thank you
for your cooperation.
PLEASE RETURN A COPY OF THIS LETTER WITH YOUR RESPONSE.
A. Smith Case Reviewer (555) 123-9876,
THIS REQUEST IS BEING RETURNED. WE DO NOT HAVE THE INFORMATION
REQUESTED.
Physician's signature
",443.0
"MEF-IP1-1 MBF/IP1 (07/15)DA FOOTD ID040340039630, MILLER,,
Back to top 11 of 12: 7F: Medical Source - No MER Available - MEDNOMER Src:
METRO HEALTH & WELLNESS #2 04/20/2023
To:, Page: 08 of 12 2023-04-25 22:16:11 EDT 18885559876 From: Production
Primary
04.18.2023 11:17:16 National Benefits Agency Page 8/9
                                        [NBA SEAL IMAGE - not representabl
                                        NATIONAL BENEFITS AGENCY
                                Requesting Payment for Medical Records
The National Benefits Agency (NBA) pays for medical records or photocopies
according to the fee schedule approved by the Benefits Eligibility Services of the
state in which the claimant resides.
According to Treasury's EFT Rule in the Code of Federal Regulations Section 31,
Part 2",444.0
"ing to Treasury's EFT Rule in the Code of Federal Regulations Section 31,
Part 208 (available online at http://fedpayments.gov/eft), all Federal nontax
payments must be disbursed using Electronic Funds Transfer (EFT) payment
methods. Therefore, vendors are required to register in the Federal Vendor
Registration System (FVRS). Providing EFT information, such as banking
information, ensures that payments reach vendors in a secure and timely manner.
By enrolling in FVRS, NBA will automatically receive any information updates a
vendor makes in FVRS. You are encouraged to register in FVRS now in
anticipation of the change to EFT payments. Registration in FVRS is free of charge.
If you have not already registered in FVRS to receive your payments
electronically, please see the instructions below.",444.0
"FVRS to receive your payments
electronically, please see the instructions below. Step 1: Prepare to register in
FVRS by locating your Taxpayer Identification Number (TIN), your business
location, and your banking information. Step 3: Access FVRS at https://
www.fvrs.gov/portal/public/FVRS/. Step 4: Create a FVRS User Account if you do
not already have one. Step 5: Register your Entity. During your registration, you
may obtain your Vendor Identification Code (VIC). Step 6: Remain in an 'active
status' and update your information as needed.
For any questions regarding registration, please contact FVRS Customer Service at
Federal Support Center (www.fsc.gov) Hours: 8am - 8pm (Eastern Time) US Calls:
888-555-0189 International Calls: 333-444-5555
",444.0
"nternational Calls: 333-444-5555
",444.0
"How to Request Payment
When requesting payment, please submit a completed copy of the Claim Evidence
Payment Request that was included with the original medical evidence request.
You also have the option of submitting your own invoice on your office letterhead.
Please remember to
MEF-IP1-1 MEF/IP1 (07/15) DA
[Bottom Text - unreadable] 12 of 12: 7F: Medical Source - No MER Available -
MEDNOMER Src: METRO HEALTH & WELLNESS #2 04/20/2023 To:, Page: 09 of 12
2023-04-25 22:16:11 EDT 18885559876 From: Production Primary 04.18.2023
11:17:49 National Benefits Agency Page 9/9
include Arthur Miller's name, the contract number, your Tax ID number, your
current address. and your DUNS number.
We are authorized to pay for medical records or photocopies according to the fee
schedule approved by the Disab",445.0
"dical records or photocopies according to the fee
schedule approved by the Disability Determination Services in your state;
however, as a federal program we are exempt from paying state sales tax.
How to Get Payment Information
To obtain information on how to contact NBA regarding a vendor payment, please
visit www.nationalbenefitsagency.gov/vendor/contact.htm. If you are enrolled in
the Government Payment Network (GPN), please visit www.gpn.gov to obtain
vendor payment information. You can access GPN with your user ID and
password to receive the status of your payments for the past 30 days. Information
is available as of the payment date. GPN will provide the invoice number,
payment amount, and payment date. In addition, you can request an email
notification when payment data is available",445.0
"n addition, you can request an email
notification when payment data is available on the GPN website.
Thank you for your participation!
FORM-ID-123 (01/20) AC
",445.0
"1 of 34: 8F: Office Treatment Records - OFFCREC Src: STERLING HEALTH CLINIC
07/21/2021 - 07/06/2023 08/11/2023 12:24 16145550102 PAGE 03/35
VANCE, ELIAS 456 ELM STREET SUITE 300 METROVILLE, CA 90210 NPI:
9876543210
Patient Information Patient Face Sheet Date Printed: 8/7/2023 Responsible Party
Information Name: MILLER, ARTHUR No Responsible Party. Patient/RP Number:
98765 SSN: 000-00-7890 Address: 789 OAK AVE. CHICAGO, IL 60601 Home Number:
(773) 555-9876 Work Number: Cell Number: Other Number: Gender: Male Birth
Date: 05/21/1965 Age: 58 yo Employment: No Info Email: Billing Method: Insurance
& Patient
Primary Insurance Information Secondary Insurance Information Tertiary
Insurance Information Insurance: Compassionate Care Alliance No Secondary
Insurance. No Tertiary Insurance. Address: Cl",446.0
